,Tag1,Tag2,Tag3,Tag4,Tag5
2012-07-19 15:05:49.671000,Off,Tag not found,0,0,-902.734741211
2012-07-19 15:06:49.671000,Off,Tag not found,0,0,-902.743530273
2012-07-19 15:07:49.671000,Off,Tag not found,0,0,-902.752319336
2012-07-19 15:08:49.671000,Off,Tag not found,0,0,-902.761108398
2012-07-19 15:09:49.671000,Off,Tag not found,0,0,-902.769897461
2012-07-19 15:10:49.671000,Off,Tag not found,0,0,-902.778686523
2012-07-19 15:11:49.671000,Off,Tag not found,0,0,-902.787475586
2012-07-19 15:12:49.671000,Off,Tag not found,0,0,-902.796264648
2012-07-19 15:13:49.671000,Off,Tag not found,0,0,-902.805053711
2012-07-19 15:14:49.671000,Off,Tag not found,0,0,-902.813842773
2012-07-19 15:15:49.671000,Off,Tag not found,0,0,-902.822631836
2012-07-19 15:16:49.671000,Off,Tag not found,0,0,-902.831420898
2012-07-19 15:17:49.671000,Off,Tag not found,0,0,-902.840209961
2012-07-19 15:18:49.671000,Off,Tag not found,0,0,-902.849060059
2012-07-19 15:19:49.671000,Off,Tag not found,0,0,-902.857849121
2012-07-19 15:20:49.671000,Off,Tag not found,0,0,-902.866638184
2012-07-19 15:21:49.671000,Off,Tag not found,0,0,-902.875427246
2012-07-19 15:22:49.671000,Off,Tag not found,0,0,-902.884216309
2012-07-19 15:23:49.671000,Off,Tag not found,0,0,-902.893005371
2012-07-19 15:24:49.671000,Off,Tag not found,0,0,-902.901794434
2012-07-19 15:25:49.671000,Off,Tag not found,0,0,-902.910583496
2012-07-19 15:26:49.671000,Off,Tag not found,0,0,-902.919372559
2012-07-19 15:27:49.671000,Off,Tag not found,0,0,-902.928161621
2012-07-19 15:28:49.671000,Off,Tag not found,0,0,-902.936950684
2012-07-19 15:29:49.671000,Off,Tag not found,0,0,-902.945739746
2012-07-19 15:30:49.671000,Off,Tag not found,0,0,-902.954528809
2012-07-19 15:31:49.671000,Off,Tag not found,0,0,-902.963317871
2012-07-19 15:32:49.671000,Off,Tag not found,0,0,-902.972167969
2012-07-19 15:33:49.671000,Off,Tag not found,0,0,-902.980957031
2012-07-19 15:34:49.671000,Off,Tag not found,0,0,-902.989746094
2012-07-19 15:35:49.671000,Off,Tag not found,0,0,-902.998535156
2012-07-19 15:36:49.671000,Off,Tag not found,0,0,-903.007324219
2012-07-19 15:37:49.671000,Off,Tag not found,0,0,-903.016113281
2012-07-19 15:38:49.671000,Off,Tag not found,0,0,-903.024902344
2012-07-19 15:39:49.671000,Off,Tag not found,0,0,-903.033691406
2012-07-19 15:40:49.671000,Off,Tag not found,0,0,-903.042480469
2012-07-19 15:41:49.671000,Off,Tag not found,0,0,-903.051269531
2012-07-19 15:42:49.671000,Off,Tag not found,0,0,-903.060058594
2012-07-19 15:43:49.671000,Off,Tag not found,0,0,-903.068847656
2012-07-19 15:44:49.671000,Off,Tag not found,0,0,-903.077636719
2012-07-19 15:45:49.671000,Off,Tag not found,0,0,-903.086425781
2012-07-19 15:46:49.671000,Off,Tag not found,0,0,-903.095275879
2012-07-19 15:47:49.671000,Off,Tag not found,0,0,-903.104064941
2012-07-19 15:48:49.671000,Off,Tag not found,0,0,-903.112854004
2012-07-19 15:49:49.671000,Off,Tag not found,0,0,-903.121643066
2012-07-19 15:50:49.671000,Off,Tag not found,0,0,-903.130432129
2012-07-19 15:51:49.671000,Off,Tag not found,0,0,-903.139221191
2012-07-19 15:52:49.671000,Off,Tag not found,0,0,-903.148010254
2012-07-19 15:53:49.671000,Off,Tag not found,0,0,-903.156799316
2012-07-19 15:54:49.671000,Off,Tag not found,0,0,-903.165588379
2012-07-19 15:55:49.671000,Off,Tag not found,0,0,-903.174377441
2012-07-19 15:56:49.671000,Off,Tag not found,0,0,-903.183166504
2012-07-19 15:57:49.671000,Off,Tag not found,0,0,-903.191955566
2012-07-19 15:58:49.671000,Off,Tag not found,0,0,-903.200744629
2012-07-19 15:59:49.671000,Off,Tag not found,0,0,-903.209533691
2012-07-19 16:00:49.671000,Off,Tag not found,0,0,-903.218383789
2012-07-19 16:01:49.671000,Off,Tag not found,0,0,-903.227172852
2012-07-19 16:02:49.671000,Off,Tag not found,0,0,-903.235961914
2012-07-19 16:03:49.671000,Off,Tag not found,0,0,-903.244750977
2012-07-19 16:04:49.671000,Off,Tag not found,0,0,-903.253540039
2012-07-19 16:05:49.671000,Off,Tag not found,0,0,-903.262329102
2012-07-19 16:06:49.671000,Off,Tag not found,0,0,-903.271118164
2012-07-19 16:07:49.671000,Off,Tag not found,0,0,-903.279907227
2012-07-19 16:08:49.671000,Off,Tag not found,0,0,-903.288696289
2012-07-19 16:09:49.671000,Off,Tag not found,0,0,-903.297485352
2012-07-19 16:10:49.671000,Off,Tag not found,0,0,-903.306274414
2012-07-19 16:11:49.671000,Off,Tag not found,0,0,-903.315063477
2012-07-19 16:12:49.671000,Off,Tag not found,0,0,-903.323852539
2012-07-19 16:13:49.671000,Off,Tag not found,0,0,-903.332641602
2012-07-19 16:14:49.671000,Off,Tag not found,0,0,-903.341491699
2012-07-19 16:15:49.671000,Off,Tag not found,0,0,-903.350280762
2012-07-19 16:16:49.671000,Off,Tag not found,0,0,-903.359069824
2012-07-19 16:17:49.671000,Off,Tag not found,0,0,-903.367858887
2012-07-19 16:18:49.671000,Off,Tag not found,0,0,-903.376647949
2012-07-19 16:19:49.671000,Off,Tag not found,0,0,-903.385437012
2012-07-19 16:20:49.671000,Off,Tag not found,0,0,-903.394226074
2012-07-19 16:21:49.671000,Off,Tag not found,0,0,-903.403015137
2012-07-19 16:22:49.671000,Off,Tag not found,0,0,-903.411804199
2012-07-19 16:23:49.671000,Off,Tag not found,0,0,-903.420593262
2012-07-19 16:24:49.671000,Off,Tag not found,0,0,-903.429382324
2012-07-19 16:25:49.671000,Off,Tag not found,0,0,-903.438171387
2012-07-19 16:26:49.671000,Off,Tag not found,0,0,-903.446960449
2012-07-19 16:27:49.671000,Off,Tag not found,0,0,-903.455749512
2012-07-19 16:28:49.671000,Off,Tag not found,0,0,-903.464599609
2012-07-19 16:29:49.671000,Off,Tag not found,0,0,-903.473388672
2012-07-19 16:30:49.671000,Off,Tag not found,0,0,-903.482177734
2012-07-19 16:31:49.671000,Off,Tag not found,0,0,-903.490966797
2012-07-19 16:32:49.671000,Off,Tag not found,0,0,-903.499755859
2012-07-19 16:33:49.671000,Off,Tag not found,0,0,-903.508544922
2012-07-19 16:34:49.671000,Off,Tag not found,0,0,-903.517333984
2012-07-19 16:35:49.671000,Off,Tag not found,0,0,-903.526123047
2012-07-19 16:36:49.671000,Off,Tag not found,0,0,-903.534912109
2012-07-19 16:37:49.671000,Off,Tag not found,0,0,-903.543701172
2012-07-19 16:38:49.671000,Off,Tag not found,0,0,-903.552490234
2012-07-19 16:39:49.671000,Off,Tag not found,0,0,-903.561279297
2012-07-19 16:40:49.671000,Off,Tag not found,0,0,-903.570068359
2012-07-19 16:41:49.671000,Off,Tag not found,0,0,-903.578857422
2012-07-19 16:42:49.671000,Off,Tag not found,0,0,-903.58770752
2012-07-19 16:43:49.671000,Off,Tag not found,0,0,-903.596496582
2012-07-19 16:44:49.671000,Off,Tag not found,0,0,-903.605895996
2012-07-19 16:45:49.671000,Off,Tag not found,0,0,-903.616760254
2012-07-19 16:46:49.671000,Off,Tag not found,0,0,-903.627807617
